Emp ID;Name Prefix;First Name;Middle Initial;Last Name;Gender;E Mail;Date of Birth;SSN;Phone No. ;Place Name;County;City;State;Zip;Region;User Name;Father's Name;Mother's Name;Mother's Maiden Name;Time of Birth;Age in Yrs.;Weight in Kgs.;Date of Joining;Quarter of Joining;Half of Joining;Year of Joining;Month of Joining;Month Name of Joining;Short Month;Day of Joining;DOW of Joining;Short DOW;Age in Company (Years);Salary;Last % Hike;Password
953724;Mrs.;Nanci;D;Osorio;F;nanci.osorio@hotmail.com;07/09/1982;571-99-4191;603-298-3198;Lincoln;Grafton;Lincoln;NH;3251;Northeast;ndosorio;Renaldo Osorio;Xochitl Osorio;Nash;12:02:26 p. m.;35.08;44;11/7/03;Q4;H2;2003;11;November;Nov;7;Friday;Fri;13.73;71321;26%;8%f:FPOls+
138700;Ms.;Maricela;H;Simard;F;maricela.simard@gmail.com;7/21/1988;157-23-8970;252-383-7726;Ingold;Sampson;Ingold;NC;28446;South;mhsimard;Dwayne Simard;Michele Simard;Breault;7:06:17 p. m.;29.04;49;9/25/2016;Q3;H2;2016;9;September;Sep;25;Sunday;Sun;0.84;88513;20%;4Xd%-TYkd4.
644265;Ms.;Avelina;I;Stoner;F;avelina.stoner@exxonmobil.com;10/01/1988;532-71-2239;215-329-1990;Salina;Westmoreland;Salina;PA;15680;Northeast;aistoner;Conrad Stoner;Tai Stoner;Laroche;12:15:44 p. m.;28.84;42;11/30/2010;Q4;H2;2010;11;November;Nov;30;Tuesday;Tue;6.66;157826;20%;0ZpMuaLKG
223871;Drs.;Christene;O;Mattison;F;christene.mattison@gmail.com;9/14/1990;169-86-8872;314-561-9256;Alba;Jasper;Alba;MO;64830;Midwest;comattison;Elroy Mattison;Brittaney Mattison;Rayner;9:43:32 a. m.;26.89;46;9/13/2015;Q3;H2;2015;9;September;Sep;13;Sunday;Sun;1.87;177224;6%;A9.^B4Vk@{N]H
807262;Mr.;Stefan;O;Maeda;M;stefan.maeda@yahoo.com;3/23/1990;312-35-8549;225-889-6869;Slidell;St. Tammany;Slidell;LA;70461;South;somaeda;Blair Maeda;Stephany Maeda;Brittingham;9:14:56 a. m.;27.37;57;11/5/11;Q4;H2;2011;11;November;Nov;5;Saturday;Sat;5.73;67028;25%;"H;dUOC/_q:5CZ}E"
368234;Drs.;Gillian;T;Winter;F;gillian.winter@gmail.com;1/17/1960;486-29-0402;505-325-2023;Alamogordo;Otero;Alamogordo;NM;88310;West;gtwinter;Arlie Winter;Bernarda Winter;Alton;2:25:49 p. m.;57.57;48;11/28/1984;Q4;H2;1984;11;November;Nov;28;Wednesday;Wed;32.68;103619;10%;E6NT?KLs
807442;Hon.;Ed;E;Ferrari;M;ed.ferrari@gmail.com;9/27/1981;493-29-4894;210-319-0049;Gardendale;Ector;Gardendale;TX;79758;South;eeferrari;Sung Ferrari;Alverta Ferrari;Norvell;7:31:47 a. m.;35.86;51;2/15/2015;Q1;H1;2015;2;February;Feb;15;Sunday;Sun;2.45;145831;1%;b.b|PeM0
956778;Ms.;Jewell;L;Thies;F;jewell.thies@aol.com;2/16/1991;112-98-0744;405-727-5191;Oklahoma City;Oklahoma City;Oklahoma City;OK;73100;South;jlthies;Tyrell Thies;Joette Thies;Barrow;11:29:52 a. m.;26.46;51;4/28/2017;Q2;H1;2017;4;April;Apr;28;Friday;Fri;0.25;153248;25%;5~F^ZfXs
496781;Dr.;Jonathan;Z;Rosa;M;jonathan.rosa@gmail.com;2/19/1981;276-17-7191;236-696-3896;Falls Church;Fairfax;Falls Church;VA;22047;South;jzrosa;Carter Rosa;Ursula Rosa;Cranford;5:51:15 a. m.;36.46;61;7/23/2010;Q3;H2;2010;7;July;Jul;23;Friday;Fri;7.02;198838;21%;3l6LIQw}
301629;Mr.;Ruben;L;Weissman;M;ruben.weissman@gmail.com;12/28/1995;729-28-4437;201-979-0583;Elmwood Park;Bergen;Elmwood Park;NJ;7407;Northeast;rlweissman;Lamont Weissman;Lawanna Weissman;Henke;11:07:05 p. m.;21.6;84;1/3/17;Q1;H1;2017;1;January;Jan;3;Tuesday;Tue;0.56;48543;22%;Y9RrTqSa
668065;Mrs.;Deja;H;Niemeyer;F;deja.niemeyer@gmail.com;09/04/1961;191-86-7546;210-777-5935;Evadale;Jasper;Evadale;TX;77615;South;dhniemeyer;Josiah Niemeyer;Emelia Niemeyer;Braddy;4:37:10 a. m.;55.93;41;6/5/12;Q2;H1;2012;6;June;Jun;5;Tuesday;Tue;5.15;130000;9%;l9uaXK7jjR4^aE
836931;Ms.;Selene;S;Ford;F;selene.ford@aol.com;3/23/1992;127-98-1656;203-799-7675;Hartford;Hartford;Hartford;CT;6101;Northeast;ssford;Jarrett Ford;Andre Ford;Bow;12:38:12 a. m.;25.36;42;10/7/13;Q4;H2;2013;10;October;Oct;7;Monday;Mon;3.81;143902;6%;p:CZy8t*JVo4_
914698;Ms.;Janeen;M;Norman;F;janeen.norman@gmail.com;1/28/1989;669-48-8772;803-953-3848;Columbia;Richland;Columbia;SC;29224;South;jmnorman;Forrest Norman;Krishna Norman;Chick;6:35:10 p. m.;28.52;53;1/5/12;Q1;H1;2012;1;January;Jan;5;Thursday;Thu;5.56;117383;17%;PPX%}E5U5Ql&C9f
872750;Mr.;Johnnie;J;Ibarra;M;johnnie.ibarra@aol.com;01/10/1972;439-99-8990;209-862-8601;San Diego;San Diego;San Diego;CA;92142;West;jjibarra;Abel Ibarra;Nenita Ibarra;Dunford;6:04:09 p. m.;45.58;71;4/14/2013;Q2;H1;2013;4;April;Apr;14;Sunday;Sun;4.29;181385;15%;2sGw73*xxx|
813428;Mr.;Emerson;L;Sands;M;emerson.sands@gmail.com;07/08/1978;202-84-1432;231-399-0470;Dowagiac;Cass;Dowagiac;MI;49047;Midwest;elsands;Herb Sands;Judith Sands;Schuman;10:18:04 p. m.;39.08;76;1/1/15;Q1;H1;2015;1;January;Jan;1;Thursday;Thu;2.57;106048;2%;fXiQY\O|Y:Pz<
380228;Mr.;Oswaldo;V;Dodd;M;oswaldo.dodd@gmail.com;11/24/1975;047-15-2729;229-954-3152;Harrison;Washington;Harrison;GA;31035;South;ovdodd;Terry Dodd;Oma Dodd;Mazur;3:24:57 a. m.;41.7;88;11/14/1998;Q4;H2;1998;11;November;Nov;14;Saturday;Sat;18.72;92047;25%;Z4%v}/9c-#oX~x
791100;Ms.;Leone;Y;Buss;F;leone.buss@yahoo.co.uk;1/31/1968;729-28-3357;207-521-8795;Bryant Pond;Oxford;Bryant Pond;ME;4219;Northeast;lybuss;Marcelo Buss;Mariette Buss;Finkle;2:26:33 a. m.;49.52;56;12/31/1996;Q4;H2;1996;12;December;Dec;31;Tuesday;Tue;20.59;44080;5%;d-a_aaoI}|
613551;Mr.;Jay;Y;Shields;M;jay.shields@gmail.com;03/11/1981;299-15-4635;303-815-3774;Denver;Jefferson;Denver;CO;80215;West;jyshields;Angelo Shields;Treasa Shields;Darnell;10:08:11 a. m.;36.41;70;8/26/2013;Q3;H2;2013;8;August;Aug;26;Monday;Mon;3.92;167893;15%;h!Fjcq1UJCZ5
147663;Mr.;Douglass;E;Corrigan;M;douglass.corrigan@rediffmail.com;3/17/1973;498-29-1692;217-809-6973;Saint Charles;Kane;Saint Charles;IL;60174;Midwest;decorrigan;Antione Corrigan;Corrinne Corrigan;Sigman;12:29:13 a. m.;44.39;60;2/19/2015;Q1;H1;2015;2;February;Feb;19;Thursday;Thu;2.44;86718;22%;PubKJS|Q
707600;Ms.;Sherita;M;Baugh;F;sherita.baugh@gmail.com;4/20/1995;441-29-0236;319-796-0569;Wheatland;Clinton;Wheatland;IA;52777;Midwest;smbaugh;Jason Baugh;Gwyneth Baugh;Mcdade;8:26:21 a. m.;22.29;42;8/17/2016;Q3;H2;2016;8;August;Aug;17;Wednesday;Wed;0.95;49450;5%;NqB{TuwjQQxcr
596529;Ms.;Lana;N;Arbuckle;F;lana.arbuckle@shaw.ca;10/22/1967;226-99-7414;405-584-3309;Oklahoma City;Oklahoma;Oklahoma City;OK;73119;South;lnarbuckle;Dillon Arbuckle;Matha Arbuckle;Kieffer;12:59:41 a. m.;49.8;47;11/11/96;Q4;H2;1996;11;November;Nov;11;Monday;Mon;20.72;193628;10%;Cn~r|\&+{4
834635;Hon.;Deloise;T;Oyler;F;deloise.oyler@yahoo.com;09/04/1963;563-99-9596;216-204-6295;Newbury;Geauga;Newbury;OH;44065;Midwest;dtoyler;Frederic Oyler;Glendora Oyler;Trotman;9:46:27 a. m.;53.93;40;1/6/15;Q1;H1;2015;1;January;Jan;6;Tuesday;Tue;2.56;173977;14%;4kqW4|2Vd.UX}D
794524;Mr.;Armand;O;Fortenberry;M;armand.fortenberry@sbcglobal.net;1/20/1992;474-55-2375;212-853-1265;Windham;Greene;Windham;NY;12496;Northeast;aofortenberry;Wilson Fortenberry;Bianca Fortenberry;Aikens;11:03:23 a. m.;25.54;82;2/17/2017;Q1;H1;2017;2;February;Feb;17;Friday;Fri;0.44;184287;24%;AF6@+exveLgqJ}
392234;Dr.;Monty;D;Hail;M;monty.hail@gmail.com;6/21/1960;322-11-0608;339-255-1370;Springfield;Hampden;Springfield;MA;1138;Northeast;mdhail;Fausto Hail;Arletta Hail;Reedy;12:35:06 a. m.;57.14;54;10/30/1983;Q4;H2;1983;10;October;Oct;30;Sunday;Sun;33.77;89286;9%;F\q-/+0-OfEN8
444753;Ms.;Judith;G;Owen;F;judith.owen@gmail.com;2/14/1958;244-99-8820;207-252-4459;Biddeford;York;Biddeford;ME;4007;Northeast;jgowen;Mauricio Owen;Margrett Owen;Bonin;10:47:50 p. m.;59.49;47;5/17/1982;Q2;H1;1982;5;May;May;17;Monday;Mon;35.22;76503;13%;R@9p}adL
361359;Hon.;Laureen;Q;Lambert;F;laureen.lambert@exxonmobil.com;2/23/1960;351-08-4760;217-920-8861;Chicago;Cook;Chicago;IL;60678;Midwest;lqlambert;Roger Lambert;Carlee Lambert;Forest;2:59:34 a. m.;57.47;52;7/31/2007;Q3;H2;2007;7;July;Jul;31;Tuesday;Tue;10;78201;6%;M{SbIdMoK&n3M
777936;Ms.;Nila;W;Traylor;F;nila.traylor@yahoo.com;05/06/1972;437-99-1434;212-404-1666;Rochester;Monroe;Rochester;NY;14608;Northeast;nwtraylor;Teddy Traylor;Helena Traylor;Summerville;9:59:03 a. m.;45.26;46;4/23/1998;Q2;H1;1998;4;April;Apr;23;Thursday;Thu;19.28;93058;22%;"HiN#Y-QQ;6&vo"
529020;Dr.;Bernard;P;Bradshaw;M;bernard.bradshaw@yahoo.co.uk;8/18/1969;224-99-5432;240-682-9499;Greenbelt;Prince George's;Greenbelt;MD;20770;South;bpbradshaw;Toby Bradshaw;Shirl Bradshaw;Dicarlo;11:55:11 a. m.;47.98;70;3/31/2002;Q1;H1;2002;3;March;Mar;31;Sunday;Sun;15.34;98634;7%;4>105-7#Y
884439;Mrs.;Micheal;A;Sarmiento;F;micheal.sarmiento@aol.com;7/17/1965;135-25-1858;314-960-1816;Bonne Terre;St. Francois;Bonne Terre;MO;63628;Midwest;masarmiento;Cameron Sarmiento;Sena Sarmiento;Sansone;4:08:59 a. m.;52.07;60;3/21/1991;Q1;H1;1991;3;March;Mar;21;Thursday;Thu;26.37;81467;14%;U#s|@cHRzK&.
269950;Mr.;Seth;B;Bilodeau;M;seth.bilodeau@bellsouth.net;05/05/1975;635-31-8665;231-279-6667;Lake Ann;Benzie;Lake Ann;MI;49650;Midwest;sbbilodeau;Barney Bilodeau;Thresa Bilodeau;Parsley;6:33:01 p. m.;42.26;51;7/6/02;Q3;H2;2002;7;July;Jul;6;Saturday;Sat;15.07;164287;25%;D#\-mK}?#emJ
258110;Ms.;Tai;O;Saavedra;F;tai.saavedra@hotmail.com;9/15/1995;099-02-5730;215-358-8995;Westmoreland City;Westmoreland;Westmoreland City;PA;15692;Northeast;tosaavedra;Dong Saavedra;Vada Saavedra;Tate;9:44:17 a. m.;21.88;43;9/15/2016;Q3;H2;2016;9;September;Sep;15;Thursday;Thu;0.87;51872;1%;HT|Ey$x/x3wnHGh
248437;Ms.;Tamra;A;Alessi;F;tamra.alessi@outlook.com;11/19/1977;623-85-6451;385-958-1406;Helper;Carbon;Helper;UT;84526;West;taalessi;Raymundo Alessi;Maragaret Alessi;Kimmel;12:01:01 a. m.;39.72;44;11/8/04;Q4;H2;2004;11;November;Nov;8;Monday;Mon;12.73;90981;6%;a1w:>liL_POIge
357480;Ms.;Shenika;R;Crittenden;F;shenika.crittenden@walmart.com;10/09/1975;546-99-2214;225-868-7449;Powhatan;Natchitoches;Powhatan;LA;71066;South;srcrittenden;Gerard Crittenden;Lashaun Crittenden;Carbone;1:07:53 a. m.;41.83;54;5/27/1998;Q2;H1;1998;5;May;May;27;Wednesday;Wed;19.18;58060;3%;cKI*5o3~k$B|@
845835;Dr.;Bernard;Q;Fessler;M;bernard.fessler@hotmail.co.uk;7/31/1958;479-41-2508;219-322-7409;South Milford;LaGrange;South Milford;IN;46786;Midwest;bqfessler;Otha Fessler;Summer Fessler;Helton;5:21:47 a. m.;59.03;63;4/17/1980;Q2;H1;1980;4;April;Apr;17;Thursday;Thu;37.3;93610;10%;u:6CBt@J
878763;Mr.;Ernest;N;Chasse;M;ernest.chasse@gmail.com;10/11/1995;108-98-6029;303-439-6575;Littleton;Douglas;Littleton;CO;80124;West;enchasse;Kirk Chasse;Judie Chasse;Winkler;8:49:57 a. m.;21.81;87;7/16/2017;Q3;H2;2017;7;July;Jul;16;Sunday;Sun;0.03;86598;11%;v?ItY/4Y
452667;Mr.;Jeffery;D;Girard;M;jeffery.girard@outlook.com;8/13/1972;484-41-0566;603-385-6031;Freedom;Carroll;Freedom;NH;3836;Northeast;jdgirard;James Girard;Maribel Girard;Coss;10:33:47 p. m.;44.99;66;6/17/1998;Q2;H1;1998;6;June;Jun;17;Wednesday;Wed;19.13;78719;23%;kOeSM^zRS@S
879556;Prof.;Christoper;I;Moye;M;christoper.moye@aol.com;03/06/1992;413-99-1985;319-859-5930;Oakville;Louisa;Oakville;IA;52646;Midwest;cimoye;Clarence Moye;Lonnie Moye;Hearne;10:45:26 a. m.;25.41;58;8/24/2013;Q3;H2;2013;8;August;Aug;24;Saturday;Sat;3.93;179104;3%;SqLMo~V>io
541976;Mr.;Kelley;Z;Greening;M;kelley.greening@rediffmail.com;2/26/1979;056-02-5142;215-615-1281;Gifford;McKean;Gifford;PA;16732;Northeast;kzgreening;Benton Greening;Fawn Greening;Rousseau;1:05:28 a. m.;38.44;81;6/22/2001;Q2;H1;2001;6;June;Jun;22;Friday;Fri;16.11;157705;18%;JUd&WqL%HZ>aY
892120;Mrs.;Ernestine;U;Beall;F;ernestine.beall@aol.com;7/28/1972;511-33-2006;215-994-0226;Doylesburg;Franklin;Doylesburg;PA;17219;Northeast;eubeall;Sal Beall;Ashleigh Beall;Mooney;11:43:08 a. m.;45.03;48;11/20/2005;Q4;H2;2005;11;November;Nov;20;Sunday;Sun;11.69;92635;4%;f#dJW@*!B7>
662814;Mr.;Archie;R;Folse;M;archie.folse@outlook.com;12/20/1992;254-99-4830;209-591-4822;Strathmore;Tulare;Strathmore;CA;93267;West;arfolse;Marcelo Folse;Akilah Folse;Earle;12:04:02 p. m.;24.62;68;1/2/16;Q1;H1;2016;1;January;Jan;2;Saturday;Sat;1.57;145647;5%;Z[NV$n4_{3?-
609576;Prof.;Ronny;C;Legault;M;ronny.legault@gmail.com;4/30/1977;710-18-4670;314-345-4329;Bates City;Lafayette;Bates City;MO;64011;Midwest;rclegault;Albert Legault;Jessica Legault;Curley;1:30:07 a. m.;40.27;68;5/2/10;Q2;H1;2010;5;May;May;2;Sunday;Sun;7.24;83203;29%;L124@HVN
492759;Dr.;Eloy;V;Brune;M;eloy.brune@aol.com;12/28/1972;657-36-8074;229-549-0978;Damascus;Damascus;Damascus;GA;39841;South;evbrune;Dwayne Brune;Jolyn Brune;Raymer;12:12:23 a. m.;44.61;84;2/6/15;Q1;H1;2015;2;February;Feb;6;Friday;Fri;2.47;170760;5%;yis46Ykl]zC&T+?
283912;Hon.;Melani;A;Ruelas;F;melani.ruelas@gmail.com;01/04/1973;008-94-7237;803-594-8265;Johns Island;Charleston;Johns Island;SC;29457;South;maruelas;Tristan Ruelas;Silvana Ruelas;Reeve;5:55:46 p. m.;44.59;55;8/15/2007;Q3;H2;2007;8;August;Aug;15;Wednesday;Wed;9.96;117415;9%;FuIG8[rn\Tj
532795;Mr.;Carlo;B;Shotwell;M;carlo.shotwell@gmail.com;06/11/1993;355-08-1456;212-431-1725;New York City;New York;New York City;NY;10112;Northeast;cbshotwell;Daryl Shotwell;Lavina Shotwell;Eggers;4:01:35 p. m.;24.15;90;9/23/2015;Q3;H2;2015;9;September;Sep;23;Wednesday;Wed;1.85;79470;4%;uL0eP[_3Mgx<RQT
863566;Prof.;Roland;Z;Antonio;M;roland.antonio@hotmail.com;5/28/1989;697-16-0179;209-559-2215;Brea;Brea;Brea;CA;92622;West;rzantonio;James Antonio;Alexia Antonio;Bryant;10:01:54 p. m.;28.19;76;1/8/15;Q1;H1;2015;1;January;Jan;8;Thursday;Thu;2.55;137241;22%;Bb|Xe%KR7:TNDY
361215;Mrs.;Lisa;G;Wick;F;lisa.wick@gmail.com;12/25/1995;128-98-0472;423-540-1697;Memphis;Memphis;Memphis;TN;37544;South;lgwick;Heath Wick;Yun Wick;Bramble;7:03:09 a. m.;21.61;46;5/17/2017;Q2;H1;2017;5;May;May;17;Wednesday;Wed;0.2;162121;26%;a>_tar\<yP
787265;Prof.;Frankie;S;Owings;M;frankie.owings@yahoo.co.in;6/15/1993;497-29-4210;314-538-1516;Sturgeon;Boone;Sturgeon;MO;65284;Midwest;fsowings;Roberto Owings;Katy Owings;Sunderland;2:17:38 a. m.;24.13;57;5/10/17;Q2;H1;2017;5;May;May;10;Wednesday;Wed;0.22;42901;10%;z#0PZS2Z/0o&tWm
696561;Mr.;Joe;K;Gowan;M;joe.gowan@comcast.net;4/20/1980;420-67-2813;236-683-3184;Blackstone;Blackstone;Blackstone;VA;23825;South;jkgowan;Jarod Gowan;Alecia Gowan;Short;8:04:37 p. m.;37.3;88;9/6/13;Q3;H2;2013;9;September;Sep;6;Friday;Fri;3.89;164300;27%;PT5gTRy*\[N9
906336;Ms.;Melisa;Z;Lomas;F;melisa.lomas@msn.com;10/29/1967;181-86-9822;205-562-1660;Mobile;Mobile;Mobile;AL;36631;South;mzlomas;Doug Lomas;Margit Lomas;Lasky;12:11:11 a. m.;49.78;45;5/25/1998;Q2;H1;1998;5;May;May;25;Monday;Mon;19.19;178886;8%;hsht/jV6
630690;Drs.;Jerilyn;J;Decker;F;jerilyn.decker@yahoo.com;8/26/1970;471-57-4154;216-629-1132;West Farmington;Trumbull;West Farmington;OH;44491;Midwest;jjdecker;Marcos Decker;Hortencia Decker;Newcomer;11:20:24 p. m.;46.95;45;4/15/2014;Q2;H1;2014;4;April;Apr;15;Tuesday;Tue;3.29;148791;6%;CLEV@W\fQ}z
785482;Mr.;Geoffrey;J;Lemmons;M;geoffrey.lemmons@gmail.com;3/25/1960;252-99-9315;339-946-3297;West Barnstable;Barnstable;West Barnstable;MA;2668;Northeast;gjlemmons;Elvin Lemmons;Martin Lemmons;Desmarais;7:46:27 p. m.;57.38;64;3/15/2008;Q1;H1;2008;3;March;Mar;15;Saturday;Sat;9.38;108088;15%;Yy?/i@O4nE>
281990;Drs.;Karima;S;Walz;F;karima.walz@sbcglobal.net;1/29/1992;075-02-6425;205-251-8144;Linden;Marengo;Linden;AL;36748;South;kswalz;Roland Walz;Antonietta Walz;Hankins;11:41:59 a. m.;25.51;48;9/17/2013;Q3;H2;2013;9;September;Sep;17;Tuesday;Tue;3.86;93153;3%;bpCP-|+dGC]M?
965373;Hon.;Trey;M;Joshua;M;trey.joshua@hotmail.com;08/09/1986;256-99-1323;239-338-7233;Opa Locka;Miami-Dade;Opa Locka;FL;33055;South;tmjoshua;Eusebio Joshua;Liliana Joshua;Lamoureux;1:12:11 a. m.;30.99;90;7/8/12;Q3;H2;2012;7;July;Jul;8;Sunday;Sun;5.06;59082;19%;WVl$eh#RC^8
674284;Mrs.;Kina;B;Mcvay;F;kina.mcvay@hotmail.com;6/20/1978;249-99-8599;304-882-9478;Huntington;Cabell;Huntington;WV;25708;South;kbmcvay;Marshall Mcvay;Letisha Mcvay;Caruthers;12:45:43 p. m.;39.13;58;8/4/12;Q3;H2;2012;8;August;Aug;4;Saturday;Sat;4.98;107926;7%;yJsrvQDcJF_cS.
214814;Dr.;Sherman;C;Coward;M;sherman.coward@gmail.com;12/25/1982;756-12-7850;304-268-9429;Delbarton;Mingo;Delbarton;WV;25670;South;sccoward;Williams Coward;Latonya Coward;Wan;9:06:20 p. m.;34.61;54;12/19/2004;Q4;H2;2004;12;December;Dec;19;Sunday;Sun;12.61;191501;11%;dlBkX[WO315A{
869212;Mr.;Refugio;G;Bechtold;M;refugio.bechtold@gmail.com;03/04/1963;428-99-9971;210-262-8051;Gilmer;Upshur;Gilmer;TX;75644;South;rgbechtold;Terry Bechtold;Stefania Bechtold;Ahlers;10:50:53 p. m.;54.44;84;11/22/1987;Q4;H2;1987;11;November;Nov;22;Sunday;Sun;29.7;160455;22%;1NLJoTTRgW
133611;Dr.;Felix;W;Imhoff;M;felix.imhoff@charter.net;01/09/1962;299-15-3804;205-298-6005;Needham;Choctaw;Needham;AL;36915;South;fwimhoff;Victor Imhoff;Irina Imhoff;Levasseur;12:13:26 a. m.;55.59;81;6/3/85;Q2;H1;1985;6;June;Jun;3;Monday;Mon;32.17;64560;16%;h1bbZ1aH<s4
602077;Dr.;Sammie;D;Irick;M;sammie.irick@charter.net;7/16/1967;647-21-5942;217-690-9432;Philo;Champaign;Philo;IL;61864;Midwest;sdirick;Renato Irick;Tommy Irick;Mayers;1:56:55 p. m.;50.07;80;7/12/09;Q3;H2;2009;7;July;Jul;12;Sunday;Sun;8.05;149343;23%;u1_O2kLd&H
